,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
0,3106,20210107,28421,33602,-0.25818655471272717,-1.8933709218293404,25476,30500,-0.26430815454387,-1.8904855182820142,299.771,360.578,-0.2131288723282543,-1.7587299291229832,204.098,245.498,-0.21313482742680068,-1.7587577396970266
1,3201,20210108,28421,33602,-0.9040295099862437,-1.1212233301547798,25476,30500,-0.9097192693368807,-1.1191967006179455,299.771,364.834,-0.7564561910000146,-1.184938344892987,204.098,248.395,-0.7564884529316183,-1.1849288672677885
2,2906,20210109,28513,33602,-1.4094969114787288,0.5351135054075162,25476,30500,-1.371182585729156,0.399703967582798,299.771,364.834,-1.4353487454351932,0.8549868281766253,204.098,248.395,-1.4354321611904362,0.8551482981736691
3,3093,20210110,30161,33602,-0.9944384128394584,-0.592229867294765,27255,30500,-0.9334710669031523,-0.8227740173262839,320.948,364.834,-0.8406545514048862,-0.33026805038337237,218.516,248.395,-0.8407961681906523,-0.3300440487017253
4,3116,20210111,30161,33772,-1.0507775873390905,-0.5898366555825207,27255,30679,-0.9821695939378758,-0.8146642282193648,320.948,364.834,-1.268710650725054,0.3074001426232429,218.516,248.395,-1.268812862449675,0.30761502648501216
5,3114,20210112,30161,33772,-1.081504682213303,-0.5954441351332789,27255,30679,-1.014442060467357,-0.8119025710076877,320.948,366.614,-1.2458415803040706,0.1764882883325467,218.516,249.607,-1.2459371737564706,0.1767057000713268
6,3132,20210113,30161,33772,-1.034972389780082,-0.6248926440077329,27255,30679,-0.9614203751304382,-0.8459338023030303,320.948,366.614,-1.2881544716236557,0.19190053694215115,218.516,249.607,-1.2882276321637287,0.1921041588368122
7,3309,20210114,30161,33772,-1.004093211002664,-0.6158589694403651,27255,30679,-0.9203838208417662,-0.8453343549892307,320.948,366.614,-1.2702780550591914,0.18642385043302268,218.516,249.607,-1.270363425900012,0.18663865124045032
8,3046,20210115,30161,33772,-0.9250245135318655,-0.6251899050557532,27255,30679,-0.7714311145430265,-0.9034271957364077,320.948,366.614,-1.2418226895291815,0.24513353976279895,218.516,249.607,-1.2419283623154944,0.2453575403567232
9,3034,20210116,30161,33772,-0.801102665472972,-1.1547952925197722,27121,30679,-0.7383668233142594,-1.1819346398175936,320.948,366.614,-0.922746439158359,-0.7965613433007843,218.516,249.607,-0.9227766965395465,-0.7965699315788006
10,3157,20210117,29746,33772,-0.8356157640495703,-1.0935191447650314,26712,30679,-0.7850918034831399,-1.1219948590076667,314.254,366.614,-1.0617099962793377,-0.42992612999054103,213.959,249.607,-1.061713648059172,-0.4299860681969556
11,3158,20210118,29746,33749,-0.8693539139766187,-1.0606891610889435,26712,30633,-0.8273078554589988,-1.0780056202387671,314.254,366.614,-0.8870695917303614,-0.5566105781491326,213.959,249.607,-0.8870993153276541,-0.5566515721171927
12,3150,20210119,29746,33153,-0.9564088027757419,-1.0366850738550575,26712,30021,-0.9333129881201649,-1.0503267179930729,314.254,361.441,-1.0382043657314899,-0.3720396721490329,213.959,246.085,-1.038206797775057,-0.3721207078388087
13,3074,20210120,29746,33153,-0.9558708559292879,-1.037234696819727,26712,30021,-0.9337152265053003,-1.0499694404933135,314.254,358.668,-1.1167672349554623,-0.26713319493813037,213.959,244.198,-1.1167415283993534,-0.2672355291650077
14,3097,20210121,29746,33359,-0.9406593550781097,-1.044812974180154,26712,30285,-0.9042340263689223,-1.0628115113885244,314.254,356.127,-1.1556835663402614,-0.20940530321201622,213.959,242.467,-1.1556670329448226,-0.2094996796160009
