,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
0,3032,20210103,28421,28513,-0.4756543591608853,-1.4999999999999407,25476,25720,0.7037418087579849,-1.4999999999999696,299.771,311.468,0.1386758781214247,-1.4999999999999978,204.098,212.061,0.1387011431142057,-1.500000000000003
1,3067,20210104,28421,32766,0.7060143646773954,-1.4999999999999998,25476,29734,0.7070960968180545,-1.4999999999999982,299.771,342.273,0.6676006527684358,-1.4999999999999951,204.098,233.036,0.6676134548029908,-1.5
2,3102,20210105,28513,33117,-0.6922142683808531,-1.5000000000000016,25476,30050,-0.6949528525177898,-1.5,299.771,353.795,-0.5789174219445135,-1.499999999999998,204.098,240.88,-0.5789416274718373,-1.4999999999999984
3,3102,20210106,32766,33429,-0.07189170149291649,-1.5,29734,30327,-0.08033563223466461,-1.4999999999999998,342.273,357.158,-0.5623535838303638,-1.4999999999999867,233.036,243.17,-0.5622998183330756,-1.49999999999999
4,3106,20210107,33117,33602,-0.3339954827544121,-1.5000000000000162,30050,30500,-0.27402176741631645,-1.5000000000000067,353.795,360.578,0.010291529577598513,-1.4999999999999996,240.88,245.498,0.010077604889536785,-1.5000000000000004
5,3201,20210108,33429,33602,-0.035379187992522806,-1.499999999999995,30327,30500,0.021234447943186102,-1.5000000000000004,357.158,364.834,0.13242608874574752,-1.4999999999999931,243.17,248.395,0.13241246415070196,-1.5000000000000022
6,2906,20210109,31269,33602,-0.7039031156602265,-1.4999999999999936,28068,30500,-0.7038706271867273,-1.5000000000000002,342.185,364.834,-0.6089679304871376,-1.5000000000000049,232.976,248.395,-0.6089966747827443,-1.4999999999999962
7,3093,20210110,30161,33518,0.38828867150575486,-1.4999999999999984,27255,30412,0.5165124877111356,-1.4999999999999982,320.948,364.834,0.03938035468655246,-1.5000000000000004,218.516,248.395,0.039284823565485995,-1.5
8,3116,20210111,30161,33772,0.43261634750258904,-1.4999999999999996,27255,30679,0.5463909390428839,-1.4999999999999976,320.948,359.358,-0.1287028217467383,-1.4999999999999996,218.516,244.667,-0.12879793212524757,-1.5000000000000004
9,3114,20210112,30161,33772,-0.7070093470242288,-1.4999999999999978,27255,30679,-0.706670288701901,-1.5000000000000022,320.948,366.614,-0.6381974164308106,-1.4999999999999951,218.516,249.607,-0.6382014395984671,-1.5000000000000002
10,3132,20210113,33108,33772,-0.7041454951333896,-1.5000000000000002,29994,30679,-0.6956428218288261,-1.5000000000000109,359.358,366.614,0.46798358785258803,-1.500000000000011,244.667,249.607,0.46803247356626526,-1.5000000000000087
11,3309,20210114,33108,33749,0.6945445505052122,-1.499999999999977,29994,30633,0.7026689321696088,-1.5,358.668,366.614,0.3500814682889077,-1.5000000000000002,244.198,249.607,0.35032435473754714,-1.4999999999999944
12,3046,20210115,32864,33153,-0.6410714727467967,-1.500000000000049,29555,30021,-0.6986421403817952,-1.4999999999999838,355.322,361.441,-0.11407620554968644,-1.4999999999999925,241.92,246.085,-0.11435916884147133,-1.5000000000000002
13,3034,20210116,30167,33153,-0.6826890700274708,-1.5000000000000027,27121,30021,-0.6365463532260929,-1.5000000000000002,331.785,358.668,-0.6658408790934547,-1.4999999999999956,225.894,244.198,-0.6658489323901998,-1.500000000000009
14,3157,20210117,29746,32864,0.6581642229164844,-1.5000000000000022,26712,29555,0.6511947213936605,-1.5,314.254,355.322,0.1767935096089676,-1.499999999999998,213.959,241.92,0.17687084484072116,-1.499999999999998
15,3158,20210118,29746,33095,0.6649727349992995,-1.5000000000000022,26712,29938,0.6642159248943186,-1.500000000000002,314.254,347.884,-0.052093157018531844,-1.5000000000000002,213.959,236.856,-0.05198771541083401,-1.4999999999999996
16,3150,20210119,29746,33148,-0.7065185872476283,-1.500000000000002,26712,29990,-0.7064967578889415,-1.4999999999999998,314.254,355.672,-0.608832328639391,-1.4999999999999973,213.959,242.158,-0.6088470333748682,-1.5000000000000018
