,date,OR,today
0,20210101,2936.0,2767
1,20210102,3037.0,2936
2,20210103,3032.0,3037
3,20210104,3067.0,3032
4,20210105,3102.0,3067
5,20210106,3102.0,3102
6,20210107,3106.0,3102
7,20210108,3201.0,3106
8,20210109,2906.0,3201
9,20210110,3093.0,2906
10,20210111,3116.0,3093
11,20210112,3114.0,3116
12,20210113,3132.0,3114
13,20210114,3309.0,3132
14,20210115,3046.0,3309
15,20210116,3034.0,3046
16,20210117,3157.0,3034
17,20210118,3158.0,3157
18,20210119,3150.0,3158
19,20210120,3074.0,3150
20,20210121,3097.0,3074
21,20210122,3203.0,3097
22,20210123,3073.0,3203
23,20210124,3269.0,3073
24,20210125,3219.0,3269
25,20210126,3064.0,3219
26,20210127,3286.0,3064
27,20210128,3203.0,3286
28,20210129,3447.0,3203
29,20210130,2906.0,3447
30,20210131,2938.0,2906
31,20210201,3046.0,2938
32,20210202,3006.0,3046
33,20210203,3132.0,3006
34,20210204,3060.0,3132
35,20210205,3066.0,3060
36,20210206,2763.0,3066
37,20210207,3047.0,2763
38,20210208,2880.0,3047
39,20210209,2887.0,2880
40,20210210,2833.0,2887
41,20210211,2992.0,2833
42,20210212,3024.0,2992
43,20210213,2911.0,3024
44,20210214,2644.0,2911
45,20210215,3001.0,2644
46,20210216,2824.0,3001
47,20210217,2907.0,2824
48,20210218,2885.0,2907
49,20210219,2975.0,2885
50,20210220,3139.0,2975
51,20210221,2989.0,3139
52,20210222,3109.0,2989
53,20210223,3049.0,3109
54,20210224,3028.0,3049
55,20210225,3041.0,3028
56,20210226,2758.0,3041
57,20210227,2672.0,2758
58,20210228,2832.0,2672
59,20210301,3221.0,2832
60,20210302,3075.0,3221
61,20210303,3088.0,3075
62,20210304,3268.0,3088
63,20210305,2805.0,3268
64,20210306,2751.0,2805
65,20210307,3110.0,2751
66,20210308,3048.0,3110
67,20210309,3055.0,3048
68,20210310,3076.0,3055
69,20210311,3272.0,3076
70,20210312,3075.0,3272
71,20210313,2933.0,3075
72,20210314,3075.0,2933
73,20210315,3087.0,3075
74,20210316,3183.0,3087
75,20210317,3214.0,3183
76,20210318,3137.0,3214
77,20210319,2838.0,3137
78,20210320,3186.0,2838
79,20210321,3225.0,3186
80,20210322,3537.0,3225
81,20210323,3059.0,3537
82,20210324,3272.0,3059
83,20210325,3279.0,3272
84,20210326,3201.0,3279
85,20210327,2919.0,3201
86,20210328,3181.0,2919
87,20210329,3262.0,3181
88,20210330,3229.0,3262
89,20210331,3470.0,3229
90,20210401,3160.0,3470
91,20210402,3057.0,3160
92,20210403,2995.0,3057
93,20210404,2872.0,2995
94,20210405,3201.0,2872
95,20210406,3247.0,3201
96,20210407,3298.0,3247
97,20210408,3211.0,3298
98,20210409,2966.0,3211
99,20210410,2848.0,2966
100,20210411,3205.0,2848
101,20210412,3195.0,3205
102,20210413,3235.0,3195
103,20210414,3208.0,3235
104,20210415,3320.0,3208
105,20210416,2883.0,3320
106,20210417,2863.0,2883
107,20210418,3091.0,2863
108,20210419,3214.0,3091
109,20210420,3302.0,3214
110,20210421,3285.0,3302
111,20210422,3334.0,3285
112,20210423,2989.0,3334
113,20210424,2911.0,2989
114,20210425,3197.0,2911
115,20210426,3474.0,3197
116,20210427,3169.0,3474
117,20210428,3296.0,3169
118,20210429,3058.0,3296
119,20210430,2884.0,3058
120,20210501,2975.0,2884
121,20210502,3234.0,2975
122,20210503,3360.0,3234
123,20210504,3578.0,3360
124,20210505,3465.0,3578
125,20210506,3518.0,3465
126,20210507,3305.0,3518
127,20210508,2975.0,3305
128,20210509,3519.0,2975
129,20210510,3611.0,3519
130,20210511,3669.0,3611
131,20210512,3682.0,3669
132,20210513,3344.0,3682
133,20210514,3507.0,3344
134,20210515,3306.0,3507
135,20210516,1437.0,3306
136,20210517,3095.0,1437
137,20210518,2880.0,3095
138,20210519,2570.0,2880
139,20210520,2882.0,2570
140,20210521,3653.0,2882
141,20210522,2244.0,3653
142,20210523,2285.0,2244
143,20210524,2797.0,2285
144,20210525,2388.0,2797
145,20210526,2523.0,2388
146,20210527,2326.0,2523
147,20210528,4990.0,2326
148,20210529,3604.0,4990
149,20210530,4077.0,3604
150,20210531,3562.0,4077
151,20210601,3989.0,3562
152,20210602,3799.0,3989
153,20210603,3726.0,3799
154,20210604,3987.0,3726
155,20210605,4063.0,3987
156,20210606,4602.0,4063
157,20210607,3775.0,4602
158,20210608,3914.0,3775
159,20210609,3749.0,3914
160,20210610,2900.0,3749
161,20210611,3046.0,2900
162,20210612,2729.0,3046
163,20210613,3273.0,2729
164,20210614,3750.0,3273
165,20210615,3715.0,3750
166,20210616,3833.0,3715
167,20210617,3848.0,3833
168,20210618,4685.0,3848
169,20210619,4156.0,4685
170,20210620,3986.0,4156
171,20210621,3589.0,3986
172,20210622,3901.0,3589
173,20210623,4694.0,3901
174,20210624,5589.0,4694
175,20210625,4203.0,5589
176,20210626,4320.0,4203
177,20210627,5005.0,4320
178,20210628,5282.0,5005
179,20210629,5987.0,5282
180,20210630,6038.0,5987
181,20210701,4602.0,6038
182,20210702,4326.0,4602
183,20210703,4525.0,4326
184,20210704,2268.0,4525
185,20210705,3924.0,2268
186,20210706,3799.0,3924
187,20210707,3805.0,3799
188,20210708,3858.0,3805
189,20210709,3811.0,3858
190,20210710,3394.0,3811
191,20210711,3464.0,3394
192,20210712,2872.0,3464
193,20210713,3832.0,2872
194,20210714,4013.0,3832
195,20210715,4235.0,4013
196,20210716,4113.0,4235
197,20210717,4457.0,4113
198,20210718,3338.0,4457
199,20210719,4042.0,3338
200,20210720,5476.0,4042
201,20210721,5400.0,5476
202,20210722,5657.0,5400
203,20210723,4373.0,5657
204,20210724,3494.0,4373
205,20210725,4518.0,3494
206,20210726,3950.0,4518
207,20210727,3033.0,3950
208,20210728,3834.0,3033
209,20210729,3833.0,3834
210,20210730,5201.0,3833
211,20210731,5486.0,5201
212,20210801,4516.0,5486
218,20210807,4066.0,3438
219,20210808,4845.0,4066
225,20210814,3483.0,5364
226,20210815,4420.0,3483
233,20210822,4656.0,3853
240,20210829,3749.0,4682
243,20210901,4267.0,3849
244,20210902,3969.0,4267
245,20210903,5140.0,3969
246,20210904,4562.0,5140
247,20210905,3883.0,4562
248,20210906,3843.0,3883
249,20210907,3860.0,3843
250,20210908,3902.0,3860
251,20210909,3303.0,3902
252,20210910,3720.0,3303
253,20210911,4008.0,3720
254,20210912,3846.0,4008
255,20210913,3958.0,3846
256,20210914,3899.0,3958
257,20210915,4841.0,3899
258,20210916,4647.0,4841
259,20210917,4609.0,4647
260,20210918,3153.0,4609
261,20210919,6911.0,3153
262,20210920,6556.0,6911
263,20210921,3816.0,6556
264,20210922,3133.0,3816
265,20210923,4457.0,3133
266,20210924,5348.0,4457
267,20210925,3209.0,5348
268,20210926,4395.0,3209
269,20210927,5268.0,4395
270,20210928,4843.0,5268
271,20210929,5212.0,4843
272,20210930,3175.0,5212
273,20211001,5235.0,3175
274,20211002,3317.0,5235
275,20211003,3756.0,3317
276,20211004,2670.0,3756
277,20211005,2327.0,2670
278,20211006,1629.0,2327
279,20211007,1854.0,1629
280,20211008,5140.0,1854
281,20211009,3642.0,5140
282,20211010,2614.0,3642
283,20211011,2384.0,2614
284,20211012,2572.0,2384
285,20211013,2884.0,2572
286,20211014,2808.0,2884
287,20211015,5663.0,2808
288,20211016,6547.0,5663
289,20211017,5902.0,6547
290,20211018,5502.0,5902
291,20211019,5030.0,5502
292,20211020,6040.0,5030
293,20211021,3899.0,6040
294,20211022,4684.0,3899
295,20211023,5049.0,4684
296,20211024,4043.0,5049
297,20211025,3471.0,4043
298,20211026,3915.0,3471
299,20211027,6817.0,3915
300,20211028,5412.0,6817
301,20211029,3806.0,5412
302,20211030,4487.0,3806
303,20211031,3357.0,4487
304,20211101,2949.0,3357
305,20211102,4206.0,2949
306,20211103,3767.0,4206
307,20211104,2818.0,3767
308,20211105,5471.0,2818
309,20211106,2584.0,5471
310,20211107,5417.0,2584
311,20211108,3914.0,5417
312,20211109,3686.0,3914
313,20211110,3857.0,3686
314,20211111,4318.0,3857
315,20211112,5117.0,4318
316,20211113,4827.0,5117
317,20211114,3571.0,4827
318,20211115,3899.0,3571
319,20211116,3859.0,3899
320,20211117,3466.0,3859
321,20211118,5704.0,3466
322,20211119,4094.0,5704
323,20211120,4098.0,4094
324,20211121,6608.0,4098
325,20211122,4036.0,6608
326,20211123,3858.0,4036
327,20211124,3937.0,3858
328,20211125,4089.0,3937
329,20211126,3727.0,4089
330,20211127,3435.0,3727
331,20211128,2773.0,3435
332,20211129,4007.0,2773
333,20211130,4556.0,4007
334,20211201,3821.0,4556
335,20211202,4966.0,3821
336,20211203,4418.0,4966
337,20211204,3620.0,4418
338,20211205,3792.0,3620
339,20211206,2841.0,3792
